year,scenario,indicator,value
1980,C1 EROI freeze,Energy CPI,92.013
1981,C1 EROI freeze,Energy CPI,88.257
1982,C1 EROI freeze,Energy CPI,84.415
1983,C1 EROI freeze,Energy CPI,86.188
1984,C1 EROI freeze,Energy CPI,90.521
1985,C1 EROI freeze,Energy CPI,90.242
1986,C1 EROI freeze,Energy CPI,95.500
1987,C1 EROI freeze,Energy CPI,121.246
1988,C1 EROI freeze,Energy CPI,108.631
1989,C1 EROI freeze,Energy CPI,111.743
1990,C1 EROI freeze,Energy CPI,107.648
1991,C1 EROI freeze,Energy CPI,109.385
1992,C1 EROI freeze,Energy CPI,111.303
1993,C1 EROI freeze,Energy CPI,113.481
1994,C1 EROI freeze,Energy CPI,118.102
1995,C1 EROI freeze,Energy CPI,124.277
1996,C1 EROI freeze,Energy CPI,130.315
1997,C1 EROI freeze,Energy CPI,136.165
1998,C1 EROI freeze,Energy CPI,140.957
1999,C1 EROI freeze,Energy CPI,142.776
2000,C1 EROI freeze,Energy CPI,153.488
2001,C1 EROI freeze,Energy CPI,153.376
2002,C1 EROI freeze,Energy CPI,156.357
2003,C1 EROI freeze,Energy CPI,149.632
2004,C1 EROI freeze,Energy CPI,158.465
2005,C1 EROI freeze,Energy CPI,166.203
2006,C1 EROI freeze,Energy CPI,171.606
2007,C1 EROI freeze,Energy CPI,177.756
2008,C1 EROI freeze,Energy CPI,183.414
2009,C1 EROI freeze,Energy CPI,178.875
2010,C1 EROI freeze,Energy CPI,191.946
2011,C1 EROI freeze,Energy CPI,192.648
2012,C1 EROI freeze,Energy CPI,199.473
2013,C1 EROI freeze,Energy CPI,197.923
2014,C1 EROI freeze,Energy CPI,210.388
2015,C1 EROI freeze,Energy CPI,224.432
2016,C1 EROI freeze,Energy CPI,230.218
2017,C1 EROI freeze,Energy CPI,234.730
2018,C1 EROI freeze,Energy CPI,252.262
2019,C1 EROI freeze,Energy CPI,258.466
2020,C1 EROI freeze,Energy CPI,248.174
2021,C1 EROI freeze,Energy CPI,275.517
2022,C1 EROI freeze,Energy CPI,298.055
2023,C1 EROI freeze,Energy CPI,325.841
2024,C1 EROI freeze,Energy CPI,326.548
2025,C1 EROI freeze,Energy CPI,329.331
2026,C1 EROI freeze,Energy CPI,332.143
2027,C1 EROI freeze,Energy CPI,334.985
2028,C1 EROI freeze,Energy CPI,337.858
2029,C1 EROI freeze,Energy CPI,340.761
2030,C1 EROI freeze,Energy CPI,343.695
2031,C1 EROI freeze,Energy CPI,346.660
2032,C1 EROI freeze,Energy CPI,349.656
2033,C1 EROI freeze,Energy CPI,352.685
2034,C1 EROI freeze,Energy CPI,355.746
2035,C1 EROI freeze,Energy CPI,358.839
2036,C1 EROI freeze,Energy CPI,361.965
2037,C1 EROI freeze,Energy CPI,365.125
2038,C1 EROI freeze,Energy CPI,368.318
2039,C1 EROI freeze,Energy CPI,371.545
2040,C1 EROI freeze,Energy CPI,374.807
2041,C1 EROI freeze,Energy CPI,378.104
2042,C1 EROI freeze,Energy CPI,381.436
2043,C1 EROI freeze,Energy CPI,384.803
2044,C1 EROI freeze,Energy CPI,388.206
2045,C1 EROI freeze,Energy CPI,391.646
2046,C1 EROI freeze,Energy CPI,395.122
2047,C1 EROI freeze,Energy CPI,398.635
2048,C1 EROI freeze,Energy CPI,402.186
2049,C1 EROI freeze,Energy CPI,405.775
2050,C1 EROI freeze,Energy CPI,409.403
1980,C1 EROI freeze,Food,50.861
1981,C1 EROI freeze,Food,49.067
1982,C1 EROI freeze,Food,47.222
1983,C1 EROI freeze,Food,48.075
1984,C1 EROI freeze,Food,50.150
1985,C1 EROI freeze,Food,50.016
1986,C1 EROI freeze,Food,52.517
1987,C1 EROI freeze,Food,64.505
1988,C1 EROI freeze,Food,58.680
1989,C1 EROI freeze,Food,60.126
1990,C1 EROI freeze,Food,58.223
1991,C1 EROI freeze,Food,59.031
1992,C1 EROI freeze,Food,59.922
1993,C1 EROI freeze,Food,60.930
1994,C1 EROI freeze,Food,63.062
1995,C1 EROI freeze,Food,65.892
1996,C1 EROI freeze,Food,68.640
1997,C1 EROI freeze,Food,71.286
1998,C1 EROI freeze,Food,73.442
1999,C1 EROI freeze,Food,74.258
2000,C1 EROI freeze,Food,79.032
2001,C1 EROI freeze,Food,78.983
2002,C1 EROI freeze,Food,80.303
2003,C1 EROI freeze,Food,77.319
2004,C1 EROI freeze,Food,81.235
2005,C1 EROI freeze,Food,84.641
2006,C1 EROI freeze,Food,87.006
2007,C1 EROI freeze,Food,89.685
2008,C1 EROI freeze,Food,92.139
2009,C1 EROI freeze,Food,90.171
2010,C1 EROI freeze,Food,95.819
2011,C1 EROI freeze,Food,96.120
2012,C1 EROI freeze,Food,99.047
2013,C1 EROI freeze,Food,98.383
2014,C1 EROI freeze,Food,103.698
2015,C1 EROI freeze,Food,109.634
2016,C1 EROI freeze,Food,112.064
2017,C1 EROI freeze,Food,113.953
2018,C1 EROI freeze,Food,121.248
2019,C1 EROI freeze,Food,123.812
2020,C1 EROI freeze,Food,119.554
2021,C1 EROI freeze,Food,130.816
2022,C1 EROI freeze,Food,139.984
2023,C1 EROI freeze,Food,151.154
2024,C1 EROI freeze,Food,151.437
2025,C1 EROI freeze,Food,152.548
2026,C1 EROI freeze,Food,153.669
2027,C1 EROI freeze,Food,154.801
2028,C1 EROI freeze,Food,155.944
2029,C1 EROI freeze,Food,157.098
2030,C1 EROI freeze,Food,158.262
2031,C1 EROI freeze,Food,159.437
2032,C1 EROI freeze,Food,160.624
2033,C1 EROI freeze,Food,161.822
2034,C1 EROI freeze,Food,163.030
2035,C1 EROI freeze,Food,164.251
2036,C1 EROI freeze,Food,165.483
2037,C1 EROI freeze,Food,166.726
2038,C1 EROI freeze,Food,167.982
2039,C1 EROI freeze,Food,169.249
2040,C1 EROI freeze,Food,170.528
2041,C1 EROI freeze,Food,171.819
2042,C1 EROI freeze,Food,173.122
2043,C1 EROI freeze,Food,174.438
2044,C1 EROI freeze,Food,175.766
2045,C1 EROI freeze,Food,177.107
2046,C1 EROI freeze,Food,178.460
2047,C1 EROI freeze,Food,179.826
2048,C1 EROI freeze,Food,181.205
2049,C1 EROI freeze,Food,182.597
2050,C1 EROI freeze,Food,184.002
1980,C1 EROI freeze,Fertiliser,41.770
1981,C1 EROI freeze,Fertiliser,39.988
1982,C1 EROI freeze,Fertiliser,38.170
1983,C1 EROI freeze,Fertiliser,39.009
1984,C1 EROI freeze,Fertiliser,41.062
1985,C1 EROI freeze,Fertiliser,40.929
1986,C1 EROI freeze,Fertiliser,43.426
1987,C1 EROI freeze,Fertiliser,55.736
1988,C1 EROI freeze,Fertiliser,49.688
1989,C1 EROI freeze,Fertiliser,51.177
1990,C1 EROI freeze,Fertiliser,49.218
1991,C1 EROI freeze,Fertiliser,50.048
1992,C1 EROI freeze,Fertiliser,50.966
1993,C1 EROI freeze,Fertiliser,52.010
1994,C1 EROI freeze,Fertiliser,54.226
1995,C1 EROI freeze,Fertiliser,57.194
1996,C1 EROI freeze,Fertiliser,60.103
1997,C1 EROI freeze,Fertiliser,62.926
1998,C1 EROI freeze,Fertiliser,65.243
1999,C1 EROI freeze,Fertiliser,66.124
2000,C1 EROI freeze,Fertiliser,71.320
2001,C1 EROI freeze,Fertiliser,71.265
2002,C1 EROI freeze,Fertiliser,72.714
2003,C1 EROI freeze,Fertiliser,69.448
2004,C1 EROI freeze,Fertiliser,73.740
2005,C1 EROI freeze,Fertiliser,77.508
2006,C1 EROI freeze,Fertiliser,80.145
2007,C1 EROI freeze,Fertiliser,83.150
2008,C1 EROI freeze,Fertiliser,85.920
2009,C1 EROI freeze,Fertiliser,83.698
2010,C1 EROI freeze,Fertiliser,90.103
2011,C1 EROI freeze,Fertiliser,90.447
2012,C1 EROI freeze,Fertiliser,93.801
2013,C1 EROI freeze,Fertiliser,93.038
2014,C1 EROI freeze,Fertiliser,99.174
2015,C1 EROI freeze,Fertiliser,106.105
2016,C1 EROI freeze,Fertiliser,108.968
2017,C1 EROI freeze,Fertiliser,111.201
2018,C1 EROI freeze,Fertiliser,119.900
2019,C1 EROI freeze,Fertiliser,122.985
2020,C1 EROI freeze,Fertiliser,117.869
2021,C1 EROI freeze,Fertiliser,131.480
2022,C1 EROI freeze,Fertiliser,142.746
2023,C1 EROI freeze,Fertiliser,156.688
2024,C1 EROI freeze,Fertiliser,157.044
2025,C1 EROI freeze,Fertiliser,158.443
2026,C1 EROI freeze,Fertiliser,159.858
2027,C1 EROI freeze,Fertiliser,161.289
2028,C1 EROI freeze,Fertiliser,162.735
2029,C1 EROI freeze,Fertiliser,164.197
2030,C1 EROI freeze,Fertiliser,165.676
2031,C1 EROI freeze,Fertiliser,167.170
2032,C1 EROI freeze,Fertiliser,168.682
2033,C1 EROI freeze,Fertiliser,170.209
2034,C1 EROI freeze,Fertiliser,171.754
2035,C1 EROI freeze,Fertiliser,173.316
2036,C1 EROI freeze,Fertiliser,174.895
2037,C1 EROI freeze,Fertiliser,176.492
2038,C1 EROI freeze,Fertiliser,178.106
2039,C1 EROI freeze,Fertiliser,179.738
2040,C1 EROI freeze,Fertiliser,181.388
2041,C1 EROI freeze,Fertiliser,183.056
2042,C1 EROI freeze,Fertiliser,184.743
2043,C1 EROI freeze,Fertiliser,186.449
2044,C1 EROI freeze,Fertiliser,188.173
2045,C1 EROI freeze,Fertiliser,189.917
2046,C1 EROI freeze,Fertiliser,191.680
2047,C1 EROI freeze,Fertiliser,193.462
2048,C1 EROI freeze,Fertiliser,195.264
2049,C1 EROI freeze,Fertiliser,197.087
2050,C1 EROI freeze,Fertiliser,198.929
1980,C1 EROI freeze,Real Wages,84.791
1981,C1 EROI freeze,Real Wages,84.013
1982,C1 EROI freeze,Real Wages,83.191
1983,C1 EROI freeze,Real Wages,83.574
1984,C1 EROI freeze,Real Wages,84.485
1985,C1 EROI freeze,Real Wages,84.428
1986,C1 EROI freeze,Real Wages,85.491
1987,C1 EROI freeze,Real Wages,90.124
1988,C1 EROI freeze,Real Wages,87.961
1989,C1 EROI freeze,Real Wages,88.512
1990,C1 EROI freeze,Real Wages,87.785
1991,C1 EROI freeze,Real Wages,88.096
1992,C1 EROI freeze,Real Wages,88.435
1993,C1 EROI freeze,Real Wages,88.815
1994,C1 EROI freeze,Real Wages,89.602
1995,C1 EROI freeze,Real Wages,90.617
1996,C1 EROI freeze,Real Wages,91.573
1997,C1 EROI freeze,Real Wages,92.466
1998,C1 EROI freeze,Real Wages,93.176
1999,C1 EROI freeze,Real Wages,93.440
2000,C1 EROI freeze,Real Wages,94.947
2001,C1 EROI freeze,Real Wages,94.931
2002,C1 EROI freeze,Real Wages,95.336
2003,C1 EROI freeze,Real Wages,94.414
2004,C1 EROI freeze,Real Wages,95.619
2005,C1 EROI freeze,Real Wages,96.632
2006,C1 EROI freeze,Real Wages,97.318
2007,C1 EROI freeze,Real Wages,98.078
2008,C1 EROI freeze,Real Wages,98.760
2009,C1 EROI freeze,Real Wages,98.215
2010,C1 EROI freeze,Real Wages,99.758
2011,C1 EROI freeze,Real Wages,99.839
2012,C1 EROI freeze,Real Wages,100.610
2013,C1 EROI freeze,Real Wages,100.437
2014,C1 EROI freeze,Real Wages,101.802
2015,C1 EROI freeze,Real Wages,103.267
2016,C1 EROI freeze,Real Wages,103.850
2017,C1 EROI freeze,Real Wages,104.296
2018,C1 EROI freeze,Real Wages,105.970
2019,C1 EROI freeze,Real Wages,106.541
2020,C1 EROI freeze,Real Wages,105.588
2021,C1 EROI freeze,Real Wages,108.056
2022,C1 EROI freeze,Real Wages,109.951
2023,C1 EROI freeze,Real Wages,112.139
2024,C1 EROI freeze,Real Wages,112.193
2025,C1 EROI freeze,Real Wages,112.404
2026,C1 EROI freeze,Real Wages,112.615
2027,C1 EROI freeze,Real Wages,112.828
2028,C1 EROI freeze,Real Wages,113.041
2029,C1 EROI freeze,Real Wages,113.255
2030,C1 EROI freeze,Real Wages,113.470
2031,C1 EROI freeze,Real Wages,113.685
2032,C1 EROI freeze,Real Wages,113.902
2033,C1 EROI freeze,Real Wages,114.119
2034,C1 EROI freeze,Real Wages,114.337
2035,C1 EROI freeze,Real Wages,114.557
2036,C1 EROI freeze,Real Wages,114.776
2037,C1 EROI freeze,Real Wages,114.997
2038,C1 EROI freeze,Real Wages,115.219
2039,C1 EROI freeze,Real Wages,115.441
2040,C1 EROI freeze,Real Wages,115.664
2041,C1 EROI freeze,Real Wages,115.889
2042,C1 EROI freeze,Real Wages,116.114
2043,C1 EROI freeze,Real Wages,116.339
2044,C1 EROI freeze,Real Wages,116.566
2045,C1 EROI freeze,Real Wages,116.794
2046,C1 EROI freeze,Real Wages,117.022
2047,C1 EROI freeze,Real Wages,117.251
2048,C1 EROI freeze,Real Wages,117.481
2049,C1 EROI freeze,Real Wages,117.712
2050,C1 EROI freeze,Real Wages,117.944
1980,C2 R/P stabilises,Energy CPI,92.013
1981,C2 R/P stabilises,Energy CPI,88.257
1982,C2 R/P stabilises,Energy CPI,84.415
1983,C2 R/P stabilises,Energy CPI,86.188
1984,C2 R/P stabilises,Energy CPI,90.521
1985,C2 R/P stabilises,Energy CPI,90.242
1986,C2 R/P stabilises,Energy CPI,95.500
1987,C2 R/P stabilises,Energy CPI,121.246
1988,C2 R/P stabilises,Energy CPI,108.631
1989,C2 R/P stabilises,Energy CPI,111.743
1990,C2 R/P stabilises,Energy CPI,107.648
1991,C2 R/P stabilises,Energy CPI,109.385
1992,C2 R/P stabilises,Energy CPI,111.303
1993,C2 R/P stabilises,Energy CPI,113.481
1994,C2 R/P stabilises,Energy CPI,118.102
1995,C2 R/P stabilises,Energy CPI,124.277
1996,C2 R/P stabilises,Energy CPI,130.315
1997,C2 R/P stabilises,Energy CPI,136.165
1998,C2 R/P stabilises,Energy CPI,140.957
1999,C2 R/P stabilises,Energy CPI,142.776
2000,C2 R/P stabilises,Energy CPI,153.488
2001,C2 R/P stabilises,Energy CPI,153.376
2002,C2 R/P stabilises,Energy CPI,156.357
2003,C2 R/P stabilises,Energy CPI,149.632
2004,C2 R/P stabilises,Energy CPI,158.465
2005,C2 R/P stabilises,Energy CPI,166.203
2006,C2 R/P stabilises,Energy CPI,171.606
2007,C2 R/P stabilises,Energy CPI,177.756
2008,C2 R/P stabilises,Energy CPI,183.414
2009,C2 R/P stabilises,Energy CPI,178.875
2010,C2 R/P stabilises,Energy CPI,191.946
2011,C2 R/P stabilises,Energy CPI,192.648
2012,C2 R/P stabilises,Energy CPI,199.473
2013,C2 R/P stabilises,Energy CPI,197.923
2014,C2 R/P stabilises,Energy CPI,210.388
2015,C2 R/P stabilises,Energy CPI,224.432
2016,C2 R/P stabilises,Energy CPI,230.218
2017,C2 R/P stabilises,Energy CPI,234.730
2018,C2 R/P stabilises,Energy CPI,252.262
2019,C2 R/P stabilises,Energy CPI,258.466
2020,C2 R/P stabilises,Energy CPI,248.174
2021,C2 R/P stabilises,Energy CPI,275.517
2022,C2 R/P stabilises,Energy CPI,298.055
2023,C2 R/P stabilises,Energy CPI,325.841
2024,C2 R/P stabilises,Energy CPI,332.255
2025,C2 R/P stabilises,Energy CPI,341.012
2026,C2 R/P stabilises,Energy CPI,350.078
2027,C2 R/P stabilises,Energy CPI,359.469
2028,C2 R/P stabilises,Energy CPI,369.200
2029,C2 R/P stabilises,Energy CPI,379.289
2030,C2 R/P stabilises,Energy CPI,389.753
2031,C2 R/P stabilises,Energy CPI,400.613
2032,C2 R/P stabilises,Energy CPI,411.889
2033,C2 R/P stabilises,Energy CPI,423.603
2034,C2 R/P stabilises,Energy CPI,435.779
2035,C2 R/P stabilises,Energy CPI,448.443
2036,C2 R/P stabilises,Energy CPI,461.623
2037,C2 R/P stabilises,Energy CPI,482.566
2038,C2 R/P stabilises,Energy CPI,508.662
2039,C2 R/P stabilises,Energy CPI,536.641
2040,C2 R/P stabilises,Energy CPI,566.678
2041,C2 R/P stabilises,Energy CPI,598.973
2042,C2 R/P stabilises,Energy CPI,633.744
2043,C2 R/P stabilises,Energy CPI,671.242
2044,C2 R/P stabilises,Energy CPI,711.747
2045,C2 R/P stabilises,Energy CPI,755.574
2046,C2 R/P stabilises,Energy CPI,803.084
2047,C2 R/P stabilises,Energy CPI,854.684
2048,C2 R/P stabilises,Energy CPI,910.840
2049,C2 R/P stabilises,Energy CPI,972.086
2050,C2 R/P stabilises,Energy CPI,1020.965
1980,C2 R/P stabilises,Food,50.861
1981,C2 R/P stabilises,Food,49.067
1982,C2 R/P stabilises,Food,47.222
1983,C2 R/P stabilises,Food,48.075
1984,C2 R/P stabilises,Food,50.150
1985,C2 R/P stabilises,Food,50.016
1986,C2 R/P stabilises,Food,52.517
1987,C2 R/P stabilises,Food,64.505
1988,C2 R/P stabilises,Food,58.680
1989,C2 R/P stabilises,Food,60.126
1990,C2 R/P stabilises,Food,58.223
1991,C2 R/P stabilises,Food,59.031
1992,C2 R/P stabilises,Food,59.922
1993,C2 R/P stabilises,Food,60.930
1994,C2 R/P stabilises,Food,63.062
1995,C2 R/P stabilises,Food,65.892
1996,C2 R/P stabilises,Food,68.640
1997,C2 R/P stabilises,Food,71.286
1998,C2 R/P stabilises,Food,73.442
1999,C2 R/P stabilises,Food,74.258
2000,C2 R/P stabilises,Food,79.032
2001,C2 R/P stabilises,Food,78.983
2002,C2 R/P stabilises,Food,80.303
2003,C2 R/P stabilises,Food,77.319
2004,C2 R/P stabilises,Food,81.235
2005,C2 R/P stabilises,Food,84.641
2006,C2 R/P stabilises,Food,87.006
2007,C2 R/P stabilises,Food,89.685
2008,C2 R/P stabilises,Food,92.139
2009,C2 R/P stabilises,Food,90.171
2010,C2 R/P stabilises,Food,95.819
2011,C2 R/P stabilises,Food,96.120
2012,C2 R/P stabilises,Food,99.047
2013,C2 R/P stabilises,Food,98.383
2014,C2 R/P stabilises,Food,103.698
2015,C2 R/P stabilises,Food,109.634
2016,C2 R/P stabilises,Food,112.064
2017,C2 R/P stabilises,Food,113.953
2018,C2 R/P stabilises,Food,121.248
2019,C2 R/P stabilises,Food,123.812
2020,C2 R/P stabilises,Food,119.554
2021,C2 R/P stabilises,Food,130.816
2022,C2 R/P stabilises,Food,139.984
2023,C2 R/P stabilises,Food,151.154
2024,C2 R/P stabilises,Food,153.714
2025,C2 R/P stabilises,Food,157.197
2026,C2 R/P stabilises,Food,160.791
2027,C2 R/P stabilises,Food,164.499
2028,C2 R/P stabilises,Food,168.328
2029,C2 R/P stabilises,Food,172.283
2030,C2 R/P stabilises,Food,176.369
2031,C2 R/P stabilises,Food,180.594
2032,C2 R/P stabilises,Food,184.964
2033,C2 R/P stabilises,Food,189.487
2034,C2 R/P stabilises,Food,194.169
2035,C2 R/P stabilises,Food,199.020
2036,C2 R/P stabilises,Food,204.048
2037,C2 R/P stabilises,Food,211.998
2038,C2 R/P stabilises,Food,221.837
2039,C2 R/P stabilises,Food,232.308
2040,C2 R/P stabilises,Food,243.467
2041,C2 R/P stabilises,Food,255.372
2042,C2 R/P stabilises,Food,268.092
2043,C2 R/P stabilises,Food,281.701
2044,C2 R/P stabilises,Food,296.283
2045,C2 R/P stabilises,Food,311.933
2046,C2 R/P stabilises,Food,328.757
2047,C2 R/P stabilises,Food,346.873
2048,C2 R/P stabilises,Food,366.418
2049,C2 R/P stabilises,Food,387.544
2050,C2 R/P stabilises,Food,404.272
1980,C2 R/P stabilises,Fertiliser,41.770
1981,C2 R/P stabilises,Fertiliser,39.988
1982,C2 R/P stabilises,Fertiliser,38.170
1983,C2 R/P stabilises,Fertiliser,39.009
1984,C2 R/P stabilises,Fertiliser,41.062
1985,C2 R/P stabilises,Fertiliser,40.929
1986,C2 R/P stabilises,Fertiliser,43.426
1987,C2 R/P stabilises,Fertiliser,55.736
1988,C2 R/P stabilises,Fertiliser,49.688
1989,C2 R/P stabilises,Fertiliser,51.177
1990,C2 R/P stabilises,Fertiliser,49.218
1991,C2 R/P stabilises,Fertiliser,50.048
1992,C2 R/P stabilises,Fertiliser,50.966
1993,C2 R/P stabilises,Fertiliser,52.010
1994,C2 R/P stabilises,Fertiliser,54.226
1995,C2 R/P stabilises,Fertiliser,57.194
1996,C2 R/P stabilises,Fertiliser,60.103
1997,C2 R/P stabilises,Fertiliser,62.926
1998,C2 R/P stabilises,Fertiliser,65.243
1999,C2 R/P stabilises,Fertiliser,66.124
2000,C2 R/P stabilises,Fertiliser,71.320
2001,C2 R/P stabilises,Fertiliser,71.265
2002,C2 R/P stabilises,Fertiliser,72.714
2003,C2 R/P stabilises,Fertiliser,69.448
2004,C2 R/P stabilises,Fertiliser,73.740
2005,C2 R/P stabilises,Fertiliser,77.508
2006,C2 R/P stabilises,Fertiliser,80.145
2007,C2 R/P stabilises,Fertiliser,83.150
2008,C2 R/P stabilises,Fertiliser,85.920
2009,C2 R/P stabilises,Fertiliser,83.698
2010,C2 R/P stabilises,Fertiliser,90.103
2011,C2 R/P stabilises,Fertiliser,90.447
2012,C2 R/P stabilises,Fertiliser,93.801
2013,C2 R/P stabilises,Fertiliser,93.038
2014,C2 R/P stabilises,Fertiliser,99.174
2015,C2 R/P stabilises,Fertiliser,106.105
2016,C2 R/P stabilises,Fertiliser,108.968
2017,C2 R/P stabilises,Fertiliser,111.201
2018,C2 R/P stabilises,Fertiliser,119.900
2019,C2 R/P stabilises,Fertiliser,122.985
2020,C2 R/P stabilises,Fertiliser,117.869
2021,C2 R/P stabilises,Fertiliser,131.480
